ID,taxonID,kingdom,phylum,class,order,family,genus,scientificName,taxonRank,vernacularName
174901,174901,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Pycnora ,Pycnora sorophora,species,
166547,166547,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Arctoparmelia,Arctoparmelia centrifuga,species,
166683,166683,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetrariella,Cetrariella delisei,species,
170432,170432,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanelia,Melanelia olivacea,species,
170436,170436,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanelia,Melanelia panniformis,species,
170444,170444,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanelia,Melanelia stygia,species,
170449,170449,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanelia,Melanelia subaurifera,species,
672076,672076,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanohalea,Melanohalea septentrionalis,species,
672070,672070,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Melanohalea,Melanohalea trabeculata,species,
173910,173910,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Sphaerophorus,Sphaerophorus fragilis,species,
173914,173914,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Sphaerophoraceae,Sphaerophorus,Sphaerophorus globosus,species,
104262,104262,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Stereocaulaceae,Lepraria,Lepraria incana (L.) Ach.,species,
104266,104266,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Stereocaulaceae,Lepraria,Lepraria neglecta Vain.,species,
680831,680831,Fungi,Ascomycota,Leotiomycetes,Rhytismatales,Cudoniaceae,Cudonia,Cudonia circinans,species,
678562,678562,Fungi,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Gyromitra,Gyromitra infula,species,
773940,773940,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Calvatia,Calvatia booniana,species,
668574,668574,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus,Coprinus comatus (O.F.Müll.) Pers.,species,
664778,664778,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita muscaria,species,
667752,667752,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Bankeraceae,Hydnellum,Hydnellum peckii,species,
160607,160607,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chalciporus,Chalciporus piperatus,species,
680908,680908,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius caperatus,species,
1215806,1215806,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,"Cortinarius lucorum (Fr.) Berger, 1846",species,
666896,666896,Fungi,Basidiomycota,Agaricomycetes,Russulales,Hericiaceae,Hericium,Hericium coralloides,species,
667805,667805,Fungi,Basidiomycota,Agaricomycetes,Boletales,Hygrophoropsidaceae,Hygrophoropsis,Hygrophoropsis aurantiaca,species,
1126110,1126110,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Inonotus,Inonotus obliquus (Ach. ex Pers.) PilÃ¡t,species,
163435,163435,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Phellinus,Phellinus igniarius,species,
164366,164366,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula xerampelina,species,
668652,668652,Fungi,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacrymycetaceae,Dacrymyces,Dacrymyces chrysospermus,species,
