"SciName","SpeciesNote"
"Maianthemum stellatum","SE of Point Possession in a grassy meadow above the bluff"
"Marchantia polymorpha",""
"Marmota broweri",""
"Marsupella condensata",""
"Meesia uliginosa",""
"Megalepthyphantes nebulosus","Collected on LTEMP. This appears to be a new record for the state."
"Megalothorax minimus",""
"Megatoma cylindrica",""
"Melanitta nigra","Skilak Lake annual"
"Melanophila acuminata","I haven't yet seen a specimen from the refuge, but this species is quite common and I am sure it is present on the refuge."
"Meleagris gallopavo","5/6/05 West Entrance of Skilak Loop"
"Melilotus officinalis","Found in swanson river oilfield pad 23-22 (8/29/2009). Sprayed with Roundup."
"Menetus opercularis",""
"Menziesia ferruginea",""
"Mertensia paniculata",""
"Mesenchytraeus solifugus",""
"Microtus miurus",""
"Microtus oeconomus",""
"Minuartia arctica",""
"Minuartia macrocarpa",""
"Mnium spinulosum",""
"Moneses uniflora",""
"Monochamus scutellatus",""
"Mustela erminea",""
"Mycoblastus alpinus",""
"Mycoblastus sanguinarius",""
"Mylia anomala",""
"Myotis lucifugus",""
"Myrica gale",""
"Myriophyllum farwellii","{http://arctos.database.museum/guid/UAM:Herb:5188}"
"Myriophyllum sibiricum","{http://arctos.database.museum/guid/UAM:Herb:5187}"
"Myurella sibirica",""
"Nanocladius spiniplenus",""
"Nardia scalaris",""
"Neovison vison",""
"Nephroma bellum",""
"Nephroma expallidum",""
"Nephroma parile",""
"Nothrus borussicus","Collected on nunatak in Harding Icefield from soil core by Berlese funnel. Determination by Dr. Zoe Lindo."
"Ochrolechia androgyna",""
"Ochrolechia frigida",""
"Ochrolechia grimmiae",""
"Ochrolechia gyalectina",""
"Ochrolechia oregonensis",""
"Ochrolechia szatalaensis",""
"Ochrolechia upsaliensis",""
"Odocoileus hemionus","1"
"Oenanthe oenanthe","Tustumena Lake 1976"
"Oncophorus virens",""
"Oncophorus wahlenbergii",""
"Oncorhynchus gorbuscha",""
"Oncorhynchus keta",""
"Oncorhynchus tshawytscha",""
"Ondatra zibethicus",""
"Oreodytes dauricus",""
"Oreodytes laevis",""
"Orthilia secunda",""
"Orthocladius appersoni",""
"Orthocladius curtiseta",""
"Orthocladius oblidens",""
"Orthocladius rivicola",""
"Orthocladius rivulorum",""
"Orthotrichum obtusifolium",""
"Orthotrichum rupestre",""
"Osmorhiza depauperata",""
"Oxyria digyna",""
"Oxytropis splendens",""
"Pachyta lamed",""
"Packera cymbalaria","The only observation of this species was in the vicinity of Big Indian Creek in 2001 by the U.S.\ Forest Service Inventory and Analysis Program. \itaxon{Packra!cymbalaria} is widespread in Alaska and western North America \citep{Welsh1974}.|This is a species of alpine tundra and heathlands \citep{Welsh1974}."
"Paludella squarrosa",""
"Palustriella commutata",""
"Pannaria praetermissa","Fuscopannaria praetermissa (Nyl.) P.M. Jørg. is a synonym."
"Pardosa diuturna","Collected on a nunatak in the Harding Icefield by Matthew Bowser on 13-VIII-2007. Tentative determinatin by Matthew Bowser on 26-III-2008. Specimens deposited in the KENWR colleciton."
"Parmelia hygrophila",""
"Parmelia omphalodes",""
"Parmelia skultii",""
"Parmelia squarrosa",""
"Parmeliopsis hyperopta",""
"Parnassia palustris",""
"Pedicularis capitata",""
"Pedicularis labradorica",""
"Pedicularis parviflora",""
"Peltigera aphthosa",""
"Peltigera collina",""
"Peltigera didactyla",""
"Peltigera kristinssonii","Peltigera occidentalis is synonym."
"Peltigera leucophlebia",""
"Peltigera membranacea",""
"Peltigera neckeri",""
"Peltigera neopolydactyla",""
"Peltigera praetextata",""
"Peltigera retifoveata",""
"Peltigera rufescens",""
"Pertusaria alaskensis",""
"Pertusaria carneopallida",""
"Pertusaria dactylina",""
"Pertusaria oculata",""
"Pertusaria ophthalmiza",""
"Pertusaria subobducens",""
"Pertusaria suboculata",""
"Petasites frigidus",""
"Phaeophyscia endococcinodes",""
"Phalaris arundinacea",""
"Phasianus colchicus",""
"Philodromus rufus","Collected in headquarters building. Deposted in KNWR collection (KNWR 6646)."
"Phloeotribus piceae","Collected on LTEMP. Determination by M. Furniss 2007."
"Phlyctis argena",""
"Phoca vitulina",""
"Phyllodoce aleutica",""
"Physcia caesia",""
"Physcia dubia",""
"Physcia stellaris",""
"Pica pica",""
"Picea glauca",""
"Picea mariana",""
"Picea X lutzii",""
"Pityophthorus nitidulus",""
"Plagiomnium ciliare",""
"Plagiomnium ellipticum",""
"Plagiomnium insigne",""
"Plagiomnium medium",""
"Plagiomnium rostratum",""
"Plagiothecium denticulatum",""
"Plagiothecium laetum",""
"Planorbella trivolvis",""
"Plantago maritima",""
"Platanthera dilatata",""
"Platanthera obtusata",""
"Plateumaris germari","See distribution map of this species in Askevold, I. S. 1991. Classi&#x0C;cation recon-structed phylogeny and geographic historyof the New World members of PlateumarisThomson 1859 (Coleoptera: Chrysomelidae).Memoirs of the Canadian Entomological Society 157:1-175."
"Platismatia glauca",""
"Platycheirus angustatus",""
"Platycheirus modestus",""
"Platycheirus rosarum",""
"Platygaster obscuripennis","Collected for Kenai NWR Long Term Ecological Monitoring Program"
"Plebejus idas",""
"Pleurocladula albescens",""
"Pleurozium schreberi",""
"Pluvialis fulva","Chickaloon Flats"
"Poa annua",""
"Poa arctica",""
"Poa compressa",""
"Poa macrocalyx",""
"Poa pratensis","AKEPIC considers all Poa pratensis non-native occurrences to be P. pratensis spp. pratensis, spreading bluegrass. This is ITIS accepted."
"Poa stenantha",""
"Poa trivialis",""
"Pogonatum contortum",""
"Pogonatum urnigerum",""
"Pohlia cruda",""
"Pohlia elongata",""
"Pohlia nutans",""
"Pohlia vexans",""
"Pohlia wahlenbergii",""
"Polemonium caeruleum",""
"Polygonum aviculare",""
"Polystichum lonchitis",""
"Polytrichastrum alpinum",""
"Polytrichum commune",""
"Polytrichum juniperinum",""
"Polytrichum longisetum",""
"Polytrichum lyallii",""
"Polytrichum piliferum",""
"Polytrichum sexangulare",""
"Polytrichum strictum",""
"Populus trichocarpa",""
"Porella cordaeana",""
"Potamogeton praelongus",""
"Potentilla furcata",""
"Potentilla gracilis",""
"Potentilla nana",""
"Potentilla norvegica",""
"Potentilla pensylvanica",""
"Potentilla uniflora",""
"Primula cuneifolia",""
"Pseudobryum cinclidioides",""
"Pseudocalliergon turgescens",""
"Pseudocyphellaria crocata",""
"Pseudoleskea incurvata",""
"Pseudoscleropodium purum",""
"Pseudotaxiphyllum elegans",""
"Psilometriocnemus triannulatus",""
"Psoroma hypnorum",""
"Ptilidium ciliare",""
"Ptilidium pulcherrimum",""
"Ptilium crista-castrensis",""
"Puccinellia nutkaensis",""
"Pungitius pungitius",""
"Pyrola asarifolia",""
"Pyrola chlorantha",""
"Pyrola grandiflora",""
"Pyrola minor",""
"Racomitrium affine",""
"Racomitrium canescens",""
"Racomitrium ericoides",""
"Racomitrium heterostichum",""
"Racomitrium lanuginosum",""
"Racomitrium microcarpon",""
"Racomitrium sudeticum",""
"Ramalina dilacerata",""
"Ramalina farinacea",""
"Ramalina intermedia",""
"Ramalina roesleri",""
"Rangifer tarandus",""
"Ranunculus eschscholtzii",""
"Ranunculus hyperboreus",""
"Ranunculus lapponicus",""
"Ranunculus nivalis",""
"Ranunculus occidentalis",""
"Renocera brevis","Collected for Kenai NWR Long Term Ecological Monitoring Program"
"Rhaphium discolor",""
"Rheumaptera subhastata","2004 Collet pilot study"
"Rhizomnium magnifolium",""
"Rhizomnium nudum",""
"Rhizoplaca melanophthalma","Rhizoplaca melanophthalma (DC.) Leuckert &amp; Poelt is updated authority."
"Rhododendron groenlandicum",""
"Rhododendron tomentosum",""
"Rhytidiadelphus loreus",""
"Rhytidiadelphus triquetrus",""
"Rhytidium rugosum",""
"Ribes bracteosum",""
"Ribes glandulosum",""
"Ribes hudsonianum",""
"Ribes lacustre",""
"Ribes triste",""
"Rinodina efflorescens",""
"Rinodina mniaraea",""
"Rinodina septentrionalis",""
"Rinodina turfacea",""
"Rorippa palustris",""
"Rosa nutkana",""
"Rubus idaeus",""
"Rumex acetosella",""
"Rumex arcticus",""
"Salicornia maritima",""
"Salix bebbiana",""
"Salix commutata",""
"Salix fuscescens",""
"Salix lasiandra",""
"Salix myrtillifolia",""
"Salix niphoclada",""
"Salix ovalifolia",""
"Salix scouleriana",""
"Salix stolonifera",""
"Salvelinus alpinus",""
"Sanionia uncinata",""
"Sarmenthypnum sarmentosum",""
"Scapania hyperborea",""
"Scapania scandica",""
"Scheuchzeria palustris",""
"Schistidium apocarpum",""
"Schoenoplectus tabernaemontani",""
"Scierus pubescens",""
"Scorpidium scorpioides",""
"Secale cereale","Introduced to our area, rye has escaped and now occurs on roadsides in Alaska \citep{Skinneretal2012}."
"Senecio integerrimus",""
"Senecio lugens",""
"Senecio vulgaris",""
"Silene latifolia",""
"Silene noctiflora",""
"Sinapis arvensis",""
"Solidago canadensis",""
"Sonchus arvensis","1"
"Sorbaria sorbifolia","1"
"Sorbus scopulina",""
"Sorbus sitchensis",""
"Sorex cinereus",""
"Sorex hoyi",""
"Sorex monticolus",""
"Sparganium hyperboreum",""
"Spergula arvensis",""
"Spergularia rubra",""
"Sphagnum angustifolium",""
"Sphagnum balticum",""
"Sphagnum capillifolium",""
"Sphagnum compactum",""
"Sphagnum fuscum",""
"Sphagnum girgensohnii",""
"Sphagnum magellanicum",""
"Sphagnum nitidum",""
"Sphagnum papillosum",""
"Sphagnum riparium",""
"Sphagnum russowii",""
"Sphagnum squarrosum",""
"Sphagnum steerei",""
"Sphagnum subsecundum",""
"Sphagnum teres",""
"Sphagnum warnstorfii",""
"Spiraea douglasii",""
"Spiraea stevenii",""
"Stellaria calycantha",""
"Stellaria humifusa",""
"Streptopus amplexifolius",""
"Stuckenia filiformis",""
"Subularia aquatica","{http://arctos.database.museum/guid/UAM:Herb:20784}"
"Suwallia forcipata",""
"Symphytum officinale",""
"Synaptomys borealis",""
"Synorthocladius semivirens",""
"Tanacetum vulgare","1"
"Tetraphis pellucida",""
"Tetraplodon mnioides",""
"Tetropium parvulum",""
"Thalictrum sparsiflorum",""
"Themira putris","http://dx.doi.org/10.7299/X7C53M00"
"Thlaspi arvense",""
"Thymallus arcticus",""
"Tiarella trifoliata",""
"Timmia austriaca",""
"Tiso aestivus",""
"Tofieldia coccinea",""
"Tomenthypnum nitens",""
"Tortella tortuosa",""
"Tortula norvegica",""
"Tortula ruralis",""
"Trachypachus holmbergi",""
"Trapeliopsis granulosa",""
"Triantha glutinosa",""
"Trichodezia albovittata","2004 Collet pilot study"
"Trientalis europaea",""
"Trifolium hybridum",""
"Triglochin maritima",""
"Tripleurospermum inodorum",""
"Tritomaria quinquedentata",""
"Trypodendron lineatum",""
"Turritis glabra","This species is exotic in our area according to \citet{AKEPIC2017}."
"Tvetenia calvescens",""
"Typha latifolia","AKNHP considers this native to parts of the state. Seems to be expanding within Refuge."
"Umbillicaria hyperborea",""
"Urtica dioica",""
"Usnea lapponica",""
"Usnea scabrata",""
"Usnea subfloridana",""
"Usnea substerilis",""
"Vaccinium ovalifolium",""
"Vahlodea atropurpurea",""
"Valvata sincera",""
"Veronica wormskjoldii",""
"Viburnum edule",""
"Viburnum opulus","1"
"Vicia cracca","Sited East end of Tustemena Lake 7/13/05 (2 pair) 7/14/05 (3)"
"Viola adunca",""
"Viola epipsila",""
"Viola renifolia","Skilak Loop"
"Viola selkirkii","Skilak Loop|Dominique Collet reported this species from Skilak Loop."
"Vulpes vulpes",""
"Weberacantha octa",""
"Woodsia ilvensis",""
"Xanthorhoe decoloraria","2004 Collet pilot study"
"Xanthorhoe ferrugata","2004 Collet pilot study"
"Xanthoria polycarpa",""
"Xylechinus montanus",""
"Xylographa vitiligo",""
"Xylotrechus undulatus","A specimen was collected at Canoe lake."
"Zaphne zetterstedtii",""
