"transferred_to_FWSpecies_date","transfer_notes","Valid_in_Gbif_refuge_YY_NN_","Found_in_FWSpecies_Y_N_","Category","Scientific_Name","rank","Origin","authority","TSN","accepted_tsn","accepted_latin","duplicate","usage","unaccept_reason","comments","vernacularName","dateFirstObserved","extirpated","inaturalistobs","arctosGUID","notes_distribution","notes_taxonomic","notes_biology","kingdom","division","phylum","class","Order","suborder","Family","subfamily","genus","evidence_URL"
"","","YY","N","Arthropods","Macrosiphoniella oblonga","Species","Native","(Mordvilko, 1901)","-619215",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hemiptera","Sternorrhyncha","Aphididae","","Macrosiphoniella",NA
"","Correct spelling (google)","NN","N","Arthropods","Macrosiphum insulare","Species","Native","(Pergande)","-619335",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hemiptera","Sternorrhyncha","Aphididae","","Macrosiphum",NA
"","","YY","N","Arthropods","Muscaphis escherichi","Species","Native","(Börner, 1939)","-619338",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hemiptera","Sternorrhyncha","Aphididae","","Muscaphis",NA
"","","YN","Y","Arthropods","Macrosteles fascifrons","Species","Native","(Stal, 1858)","-619198",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hemiptera","Auchenorrhyncha","Cicadellidae","","Macrosteles",NA
"","","YY","N","Arthropods","Nothodelphax albocarinata","Species","Native","(Stal, 1858)","-619225",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hemiptera","Auchenorrhyncha","Delphacidae","","Nothodelphax",NA
"","","YN","N","Arthropods","Craspedolepta alaskensis","Species","Native","","-618170",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hemiptera","Sternorrhyncha","Psyllidae","","Craspedolepta",NA
"","","YY","N","Arthropods","Psylla minor","Species","Native","","-618169",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hemiptera","Sternorrhyncha","Psyllidae","","Psylla",NA
"","No URL reference","YY","Y","Arthropods","Bombus insularis","Species","Native","(Smith, 1861)","714813",NA,"",NA,"","","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hymenoptera","Apocrita","Apidae","Apinae","Bombus",NA
"","No URL reference","YY","Y","Arthropods","Bombus jonellus","Species","Native","(Kirby, 1802)","714815",NA,"",NA,"","","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hymenoptera","Apocrita","Apidae","Apinae","Bombus",NA
"","No URL reference","YY","Y","Arthropods","Bombus suckleyi","Species","Native","Greene, 1860","714839",NA,"",NA,"","","","",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hymenoptera","Apocrita","Apidae","Apinae","Bombus",NA
"","","N?","Y","Arthropods","Arge cyra","Species","Native","","-618190",NA,"",NA,"invalid","not reviewed, USFWS record","","Elm sawfly",NA,NA,NA,"","","","","Animalia","","Arthropoda","Insecta","Hymenoptera","Symphyta","Argidae","","Arge",NA
