ID	locality	occurrenceStatus	establishmentMeans	source	countryCode	locationID
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111842	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111843	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111844	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111845	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111846	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111847	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111848	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111849	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111850	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111851	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111852	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111853	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111854	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111855	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111856	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111857	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111858	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111859	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111860	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111861	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111862	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111863	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111864	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111865	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111866	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111867	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111868	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111869	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111870	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111871	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111872	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111873	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111874	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111875	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111877	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111878	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111879	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111880	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111881	US	GADM:Kenai Peninsula
10821	Kenai National Wildlife Refuge	present	native	https://arctos.database.museum/guid/UAMObs:Ento:31822	US	GADM:Kenai Peninsula
10837	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:254813	US	GADM:Kenai Peninsula
108639	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:10349	US	GADM:Kenai Peninsula
108800	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Herb:57303	US	GADM:Kenai Peninsula
109473	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:10346	US	GADM:Kenai Peninsula
110092	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:673	US	GADM:Kenai Peninsula
111012	Kenai National Wildlife Refuge	present	exotic	http://www.inaturalist.org/observations/4051613	US	GADM:Kenai Peninsula
11131	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:1578	US	GADM:Kenai Peninsula
11131	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:3347	US	GADM:Kenai Peninsula
11131	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:3657	US	GADM:Kenai Peninsula
11131	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:6153	US	GADM:Kenai Peninsula
11131	Kenai National Wildlife Refuge	present	native	http://www.inaturalist.org/observations/1336308	US	GADM:Kenai Peninsula
112104	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:10324	US	GADM:Kenai Peninsula
112278	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:670	US	GADM:Kenai Peninsula
