ID	taxonID	kingdom	phylum	class	order	family	scientificName	taxonRank
12334	12334	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Trypodendron lineatum (Olivier, 1795)	species
408364	408364	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Xylechinus montanus Blackman, 1940	species
12359	12359	Animalia	Arthropoda	Insecta	Coleoptera	Dermestidae	Dermestes lardarius Linnaeus, 1758	species
634220	634220	Animalia	Arthropoda	Insecta	Coleoptera	Dermestidae	Megatoma cylindrica (Kirby, 1837)	species
634239	634239	Animalia	Arthropoda	Insecta	Coleoptera	Dermestidae	Megatoma perversa (Fall, 1926)	species
11894	11894	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Acilius semisulcatus Aubé, 1838	species
11818	11818	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus anthracinus Mannerheim, 1852	species
11840	11840	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus bifarius (Kirby, 1837)	species
11806	11806	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus confinis (Gyllenhal, 1808)	species
11829	11829	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus inscriptus (Crotch, 1873)	species
11118	11118	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus semipunctatus (Kirby, 1837)	species
11107	11107	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Agabus tristis Aubé, 1838	species
12630	12630	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Dytiscus circumcinctus Ahrens, 1811	species
12631	12631	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Dytiscus dauricus Gebler, 1832	species
12622	12622	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Dytiscus harrisii Kirby, 1837	species
14814	14814	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus badiellus Fall, 1923	species
14749	14749	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus dentellus Fall, 1917	species
14790	14790	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus lapponum (Gyllenhal, 1808)	species
100335	100335	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus morio Aubé, 1838	species
632654	632654	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus nigellus Mannerheim, 1853	species
14003	14003	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus notabilis LeConte, 1850	species
14064	14064	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus obscurus Sturm, 1835	species
632658	632658	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus puberulus LeConte, 1850	species
14817	14817	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus rectus Fall, 1923	species
14742	14742	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus striola (Gyllenhal, 1826)	species
14741	14741	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hydroporus tristis (Paykull, 1798)	species
13003	13003	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hygrotus compar (Fall, 1919)	species
12715	12715	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hygrotus impressopunctatus (Schaller, 1783)	species
633585	633585	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hygrotus novemlineatus (Stephens, 1829)	species
12720	12720	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hygrotus picatus (Kirby, 1837)	species
12729	12729	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Hygrotus turbidus (LeConte, 1855)	species
12701	12701	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius angustior (Gyllenhal, 1808)	species
12696	12696	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius discedens Sharp, 1882	species
635989	635989	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius erichsoni (Gemminger and Harold, 1868)	species
635997	635997	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius hypomelas (Mannerheim, 1843)	species
12690	12690	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Ilybius picipes (Kirby, 1837)	species
636940	636940	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Liodessus obscurellus (LeConte, 1852)	species
858922	858922	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Oreodytes dauricus (Motschulsky, 1860)	species
